,0
2022-01-01 00:00:00+01:00,0.0
2022-01-01 01:00:00+01:00,0.0
2022-01-01 02:00:00+01:00,0.0
2022-01-01 03:00:00+01:00,0.0
2022-01-01 04:00:00+01:00,0.0
2022-01-01 05:00:00+01:00,0.0
2022-01-01 06:00:00+01:00,0.0
2022-01-01 07:00:00+01:00,0.0
2022-01-01 08:00:00+01:00,0.0
2022-01-01 09:00:00+01:00,54.8
2022-01-01 10:00:00+01:00,803.6
2022-01-01 11:00:00+01:00,1927.0
2022-01-01 12:00:00+01:00,1965.6
2022-01-01 13:00:00+01:00,2200.7
2022-01-01 14:00:00+01:00,2139.4
2022-01-01 15:00:00+01:00,3913.0
2022-01-01 16:00:00+01:00,2974.0
2022-01-01 17:00:00+01:00,1888.9
2022-01-01 18:00:00+01:00,734.7
2022-01-01 19:00:00+01:00,0.0
2022-01-01 20:00:00+01:00,16.8
2022-01-01 21:00:00+01:00,0.0
2022-01-01 22:00:00+01:00,106.35
2022-01-01 23:00:00+01:00,0.0
2022-01-02 00:00:00+01:00,0.0
2022-01-02 01:00:00+01:00,0.0
2022-01-02 02:00:00+01:00,0.0
2022-01-02 03:00:00+01:00,0.0
2022-01-02 04:00:00+01:00,69.0
2022-01-02 05:00:00+01:00,217.7
2022-01-02 06:00:00+01:00,129.6
2022-01-02 07:00:00+01:00,30.6
2022-01-02 08:00:00+01:00,194.9
2022-01-02 09:00:00+01:00,276.9
2022-01-02 10:00:00+01:00,159.4
2022-01-02 11:00:00+01:00,358.3
2022-01-02 12:00:00+01:00,49.6
2022-01-02 13:00:00+01:00,323.9
2022-01-02 14:00:00+01:00,409.0
2022-01-02 15:00:00+01:00,1220.0
2022-01-02 16:00:00+01:00,1443.65
2022-01-02 17:00:00+01:00,1834.0
2022-01-02 18:00:00+01:00,878.0
2022-01-02 19:00:00+01:00,202.0
2022-01-02 20:00:00+01:00,0.0
2022-01-02 21:00:00+01:00,0.0
2022-01-02 22:00:00+01:00,0.0
2022-01-02 23:00:00+01:00,0.0
2022-01-03 00:00:00+01:00,0.0
2022-01-03 01:00:00+01:00,0.0
2022-01-03 02:00:00+01:00,1361.0
2022-01-03 03:00:00+01:00,1048.2
2022-01-03 04:00:00+01:00,91.7
2022-01-03 05:00:00+01:00,0.0
2022-01-03 06:00:00+01:00,0.0
2022-01-03 07:00:00+01:00,0.0
2022-01-03 08:00:00+01:00,0.0
2022-01-03 09:00:00+01:00,0.0
2022-01-03 10:00:00+01:00,0.0
2022-01-03 11:00:00+01:00,0.0
2022-01-03 12:00:00+01:00,0.0
2022-01-03 13:00:00+01:00,0.0
2022-01-03 14:00:00+01:00,0.0
2022-01-03 15:00:00+01:00,0.0
2022-01-03 16:00:00+01:00,59.3
2022-01-03 17:00:00+01:00,0.0
2022-01-03 18:00:00+01:00,0.0
2022-01-03 19:00:00+01:00,0.0
2022-01-03 20:00:00+01:00,0.0
2022-01-03 21:00:00+01:00,0.0
2022-01-03 22:00:00+01:00,0.0
2022-01-03 23:00:00+01:00,0.0
2022-01-04 00:00:00+01:00,0.0
2022-01-04 01:00:00+01:00,0.0
2022-01-04 02:00:00+01:00,399.3
2022-01-04 03:00:00+01:00,455.75
2022-01-04 04:00:00+01:00,190.35
2022-01-04 05:00:00+01:00,443.1
2022-01-04 06:00:00+01:00,379.4
2022-01-04 07:00:00+01:00,247.9
