,Forecasted Load,Actual Load
2022-01-02 05:15:00+01:00,44343.0,41013.0
2022-01-02 05:30:00+01:00,44323.0,41113.0
2022-01-02 05:45:00+01:00,44464.0,41133.0
2022-01-02 06:00:00+01:00,43973.0,40715.0
2022-01-02 06:15:00+01:00,44072.0,40633.0
2022-01-02 06:30:00+01:00,44031.0,40775.0
2022-01-02 06:45:00+01:00,44178.0,41139.0
2022-01-02 07:00:00+01:00,44016.0,41726.0
2022-01-02 07:15:00+01:00,44493.0,42322.0
2022-01-02 07:30:00+01:00,45153.0,42993.0
2022-01-02 07:45:00+01:00,45729.0,43700.0
2022-01-02 08:00:00+01:00,46315.0,44645.0
2022-01-02 08:15:00+01:00,46862.0,45426.0
2022-01-02 08:30:00+01:00,47787.0,46322.0
2022-01-02 08:45:00+01:00,48809.0,47074.0
2022-01-02 09:00:00+01:00,49792.0,48180.0
2022-01-02 09:15:00+01:00,50846.0,48677.0
2022-01-02 09:30:00+01:00,51338.0,48947.0
2022-01-02 09:45:00+01:00,51929.0,49425.0
2022-01-02 10:00:00+01:00,52541.0,50325.0
2022-01-02 10:15:00+01:00,53142.0,50517.0
2022-01-02 10:30:00+01:00,53525.0,51402.0
2022-01-02 10:45:00+01:00,53963.0,52054.0
2022-01-02 11:00:00+01:00,54798.0,53047.0
2022-01-02 11:15:00+01:00,55441.0,54158.0
2022-01-02 11:30:00+01:00,55855.0,54663.0
2022-01-02 11:45:00+01:00,55779.0,54772.0
2022-01-02 12:00:00+01:00,55953.0,55291.0
2022-01-02 12:15:00+01:00,55736.0,55182.0
2022-01-02 12:30:00+01:00,55422.0,55053.0
2022-01-02 12:45:00+01:00,55283.0,54753.0
2022-01-02 13:00:00+01:00,55203.0,54227.0
2022-01-02 13:15:00+01:00,54840.0,53851.0
2022-01-02 13:30:00+01:00,54506.0,53551.0
2022-01-02 13:45:00+01:00,54237.0,53757.0
2022-01-02 14:00:00+01:00,54099.0,53492.0
2022-01-02 14:15:00+01:00,53821.0,53264.0
2022-01-02 14:30:00+01:00,53634.0,53001.0
2022-01-02 14:45:00+01:00,53224.0,53008.0
2022-01-02 15:00:00+01:00,53282.0,53593.0
2022-01-02 15:15:00+01:00,53033.0,53574.0
2022-01-02 15:30:00+01:00,52869.0,53803.0
2022-01-02 15:45:00+01:00,53111.0,53976.0
2022-01-02 16:00:00+01:00,53319.0,55038.0
2022-01-02 16:15:00+01:00,53740.0,55576.0
2022-01-02 16:30:00+01:00,54672.0,56136.0
2022-01-02 16:45:00+01:00,55704.0,57393.0
2022-01-02 17:00:00+01:00,56722.0,58502.0
2022-01-02 17:15:00+01:00,57070.0,59009.0
2022-01-02 17:30:00+01:00,57494.0,59458.0
2022-01-02 17:45:00+01:00,57761.0,59567.0
2022-01-02 18:00:00+01:00,58172.0,59349.0
2022-01-02 18:15:00+01:00,58371.0,59342.0
2022-01-02 18:30:00+01:00,58506.0,59461.0
2022-01-02 18:45:00+01:00,58323.0,59112.0
2022-01-02 19:00:00+01:00,58390.0,58590.0
2022-01-02 19:15:00+01:00,58128.0,58175.0
2022-01-02 19:30:00+01:00,57680.0,57805.0
2022-01-02 19:45:00+01:00,57202.0,57038.0
2022-01-02 20:00:00+01:00,56942.0,56386.0
2022-01-02 20:15:00+01:00,56448.0,55682.0
2022-01-02 20:30:00+01:00,55600.0,54946.0
2022-01-02 20:45:00+01:00,55025.0,54239.0
2022-01-02 21:00:00+01:00,54649.0,53619.0
2022-01-02 21:15:00+01:00,54370.0,53194.0
2022-01-02 21:30:00+01:00,54064.0,52733.0
2022-01-02 21:45:00+01:00,54004.0,52295.0
2022-01-02 22:00:00+01:00,54588.0,52509.0
2022-01-02 22:15:00+01:00,54202.0,51988.0
2022-01-02 22:30:00+01:00,53563.0,51128.0
2022-01-02 22:45:00+01:00,52837.0,50077.0
2022-01-02 23:00:00+01:00,51882.0,49469.0
2022-01-02 23:15:00+01:00,51423.0,48527.0
2022-01-02 23:30:00+01:00,50767.0,48044.0
2022-01-02 23:45:00+01:00,50351.0,47298.0
2022-01-03 00:00:00+01:00,49917.0,46396.0
2022-01-03 00:15:00+01:00,49309.0,46081.0
2022-01-03 00:30:00+01:00,48825.0,45714.0
2022-01-03 00:45:00+01:00,48264.0,45070.0
2022-01-03 01:00:00+01:00,47919.0,44693.0
2022-01-03 01:15:00+01:00,47504.0,44133.0
2022-01-03 01:30:00+01:00,47177.0,43986.0
2022-01-03 01:45:00+01:00,46900.0,43416.0
2022-01-03 02:00:00+01:00,46771.0,43104.0
2022-01-03 02:15:00+01:00,46839.0,42852.0
2022-01-03 02:30:00+01:00,46729.0,43012.0
2022-01-03 02:45:00+01:00,46743.0,42957.0
2022-01-03 03:00:00+01:00,46860.0,43357.0
2022-01-03 03:15:00+01:00,47001.0,43251.0
2022-01-03 03:30:00+01:00,47271.0,43516.0
2022-01-03 03:45:00+01:00,47500.0,43934.0
2022-01-03 04:00:00+01:00,48123.0,44283.0
2022-01-03 04:15:00+01:00,48392.0,44504.0
2022-01-03 04:30:00+01:00,48690.0,45043.0
2022-01-03 04:45:00+01:00,49295.0,46130.0
2022-01-03 05:00:00+01:00,50318.0,47656.0
2022-01-03 05:15:00+01:00,50700.0,48289.0
2022-01-03 05:30:00+01:00,51842.0,48898.0
2022-01-03 05:45:00+01:00,53105.0,50443.0
2022-01-03 06:00:00+01:00,54867.0,53333.0
2022-01-03 06:15:00+01:00,56330.0,55044.0
2022-01-03 06:30:00+01:00,57691.0,56902.0
2022-01-03 06:45:00+01:00,58987.0,58494.0
2022-01-03 07:00:00+01:00,60645.0,60367.0
2022-01-03 07:15:00+01:00,61364.0,61642.0
2022-01-03 07:30:00+01:00,62099.0,62729.0
2022-01-03 07:45:00+01:00,62796.0,64025.0
2022-01-03 08:00:00+01:00,63814.0,64949.0
2022-01-03 08:15:00+01:00,64090.0,65551.0
2022-01-03 08:30:00+01:00,64392.0,65962.0
2022-01-03 08:45:00+01:00,64840.0,66391.0
2022-01-03 09:00:00+01:00,64757.0,66765.0
2022-01-03 09:15:00+01:00,65480.0,66912.0
2022-01-03 09:30:00+01:00,65930.0,67296.0
2022-01-03 09:45:00+01:00,65905.0,67577.0
2022-01-03 10:00:00+01:00,65576.0,68039.0
2022-01-03 10:15:00+01:00,65559.0,68599.0
2022-01-03 10:30:00+01:00,65927.0,68840.0
2022-01-03 10:45:00+01:00,66319.0,68858.0
2022-01-03 11:00:00+01:00,66833.0,69364.0
2022-01-03 11:15:00+01:00,67265.0,70118.0
2022-01-03 11:30:00+01:00,67618.0,70535.0
2022-01-03 11:45:00+01:00,67561.0,70713.0
2022-01-03 12:00:00+01:00,67682.0,70929.0
2022-01-03 12:15:00+01:00,67667.0,70837.0
2022-01-03 12:30:00+01:00,67533.0,70824.0
2022-01-03 12:45:00+01:00,67734.0,70647.0
2022-01-03 13:00:00+01:00,67457.0,70720.0
2022-01-03 13:15:00+01:00,67044.0,70200.0
2022-01-03 13:30:00+01:00,66618.0,69745.0
2022-01-03 13:45:00+01:00,66161.0,69297.0
2022-01-03 14:00:00+01:00,65893.0,69008.0
2022-01-03 14:15:00+01:00,65811.0,68996.0
2022-01-03 14:30:00+01:00,65508.0,68892.0
2022-01-03 14:45:00+01:00,65038.0,68925.0
2022-01-03 15:00:00+01:00,65071.0,68605.0
2022-01-03 15:15:00+01:00,64873.0,68153.0
2022-01-03 15:30:00+01:00,64518.0,67743.0
2022-01-03 15:45:00+01:00,64557.0,67486.0
2022-01-03 16:00:00+01:00,64940.0,67956.0
2022-01-03 16:15:00+01:00,65289.0,68194.0
2022-01-03 16:30:00+01:00,65865.0,68924.0
2022-01-03 16:45:00+01:00,66580.0,69670.0
2022-01-03 17:00:00+01:00,67371.0,70425.0
2022-01-03 17:15:00+01:00,67652.0,70998.0
2022-01-03 17:30:00+01:00,67782.0,71318.0
2022-01-03 17:45:00+01:00,67750.0,71627.0
2022-01-03 18:00:00+01:00,67721.0,71246.0
2022-01-03 18:15:00+01:00,67601.0,71069.0
2022-01-03 18:30:00+01:00,67435.0,70833.0
2022-01-03 18:45:00+01:00,67465.0,70257.0
2022-01-03 19:00:00+01:00,67433.0,69915.0
2022-01-03 19:15:00+01:00,66966.0,69132.0
2022-01-03 19:30:00+01:00,66568.0,68442.0
2022-01-03 19:45:00+01:00,66241.0,67842.0
2022-01-03 20:00:00+01:00,65582.0,66621.0
2022-01-03 20:15:00+01:00,65105.0,65275.0
2022-01-03 20:30:00+01:00,64105.0,64056.0
2022-01-03 20:45:00+01:00,63327.0,63018.0
2022-01-03 21:00:00+01:00,63188.0,62115.0
2022-01-03 21:15:00+01:00,62721.0,61292.0
2022-01-03 21:30:00+01:00,61943.0,60324.0
2022-01-03 21:45:00+01:00,61306.0,59889.0
2022-01-03 22:00:00+01:00,61180.0,59690.0
2022-01-03 22:15:00+01:00,60464.0,58649.0
2022-01-03 22:30:00+01:00,59351.0,57452.0
2022-01-03 22:45:00+01:00,58538.0,56416.0
2022-01-03 23:00:00+01:00,57336.0,55454.0
2022-01-03 23:15:00+01:00,56516.0,54649.0
2022-01-03 23:30:00+01:00,55789.0,53844.0
2022-01-03 23:45:00+01:00,55395.0,53130.0
2022-01-04 00:00:00+01:00,54698.0,52094.0
2022-01-04 00:15:00+01:00,54039.0,51584.0
2022-01-04 00:30:00+01:00,53562.0,50902.0
2022-01-04 00:45:00+01:00,52811.0,50184.0
2022-01-04 01:00:00+01:00,52209.0,49388.0
2022-01-04 01:15:00+01:00,51877.0,48955.0
2022-01-04 01:30:00+01:00,51632.0,48749.0
2022-01-04 01:45:00+01:00,51352.0,48562.0
2022-01-04 02:00:00+01:00,51089.0,48099.0
2022-01-04 02:15:00+01:00,51128.0,48147.0
2022-01-04 02:30:00+01:00,51045.0,48087.0
2022-01-04 02:45:00+01:00,50983.0,48095.0
2022-01-04 03:00:00+01:00,50908.0,48445.0
2022-01-04 03:15:00+01:00,51162.0,48467.0
2022-01-04 03:30:00+01:00,51352.0,48542.0
2022-01-04 03:45:00+01:00,51492.0,48853.0
2022-01-04 04:00:00+01:00,51948.0,49149.0
2022-01-04 04:15:00+01:00,52173.0,49538.0
2022-01-04 04:30:00+01:00,52426.0,50173.0
2022-01-04 04:45:00+01:00,52994.0,50686.0
2022-01-04 05:00:00+01:00,53811.0,51437.0
2022-01-04 05:15:00+01:00,54379.0,52048.0
2022-01-04 05:30:00+01:00,55279.0,52931.0
2022-01-04 05:45:00+01:00,56296.0,54179.0
2022-01-04 06:00:00+01:00,57763.0,56455.0
2022-01-04 06:15:00+01:00,59055.0,57794.0
2022-01-04 06:30:00+01:00,60092.0,58720.0
2022-01-04 06:45:00+01:00,61046.0,59947.0
2022-01-04 07:00:00+01:00,62352.0,61713.0
2022-01-04 07:15:00+01:00,63370.0,62574.0
