,Forecasted Load
2022-01-02 07:30:00+01:00,45153.0
2022-01-02 07:45:00+01:00,45729.0
2022-01-02 08:00:00+01:00,46315.0
2022-01-02 08:15:00+01:00,46862.0
2022-01-02 08:30:00+01:00,47787.0
2022-01-02 08:45:00+01:00,48809.0
2022-01-02 09:00:00+01:00,49792.0
2022-01-02 09:15:00+01:00,50846.0
2022-01-02 09:30:00+01:00,51338.0
2022-01-02 09:45:00+01:00,51929.0
2022-01-02 10:00:00+01:00,52541.0
2022-01-02 10:15:00+01:00,53142.0
2022-01-02 10:30:00+01:00,53525.0
2022-01-02 10:45:00+01:00,53963.0
2022-01-02 11:00:00+01:00,54798.0
2022-01-02 11:15:00+01:00,55441.0
2022-01-02 11:30:00+01:00,55855.0
2022-01-02 11:45:00+01:00,55779.0
2022-01-02 12:00:00+01:00,55953.0
2022-01-02 12:15:00+01:00,55736.0
2022-01-02 12:30:00+01:00,55422.0
2022-01-02 12:45:00+01:00,55283.0
2022-01-02 13:00:00+01:00,55203.0
2022-01-02 13:15:00+01:00,54840.0
2022-01-02 13:30:00+01:00,54506.0
2022-01-02 13:45:00+01:00,54237.0
2022-01-02 14:00:00+01:00,54099.0
2022-01-02 14:15:00+01:00,53821.0
2022-01-02 14:30:00+01:00,53634.0
2022-01-02 14:45:00+01:00,53224.0
2022-01-02 15:00:00+01:00,53282.0
2022-01-02 15:15:00+01:00,53033.0
2022-01-02 15:30:00+01:00,52869.0
2022-01-02 15:45:00+01:00,53111.0
2022-01-02 16:00:00+01:00,53319.0
2022-01-02 16:15:00+01:00,53740.0
2022-01-02 16:30:00+01:00,54672.0
2022-01-02 16:45:00+01:00,55704.0
2022-01-02 17:00:00+01:00,56722.0
2022-01-02 17:15:00+01:00,57070.0
2022-01-02 17:30:00+01:00,57494.0
2022-01-02 17:45:00+01:00,57761.0
2022-01-02 18:00:00+01:00,58172.0
2022-01-02 18:15:00+01:00,58371.0
2022-01-02 18:30:00+01:00,58506.0
2022-01-02 18:45:00+01:00,58323.0
2022-01-02 19:00:00+01:00,58390.0
2022-01-02 19:15:00+01:00,58128.0
2022-01-02 19:30:00+01:00,57680.0
2022-01-02 19:45:00+01:00,57202.0
2022-01-02 20:00:00+01:00,56942.0
2022-01-02 20:15:00+01:00,56448.0
2022-01-02 20:30:00+01:00,55600.0
2022-01-02 20:45:00+01:00,55025.0
2022-01-02 21:00:00+01:00,54649.0
2022-01-02 21:15:00+01:00,54370.0
2022-01-02 21:30:00+01:00,54064.0
2022-01-02 21:45:00+01:00,54004.0
